Name;Order;Runs;Balls;4s;6s;SR;minutes at crease;Players Team;Match;Result;Team1;;Team1 Innings;Wickets1;Team2;Team2 Innings;Wickets2;
SC Ganguly (c);1;10;12;2;0;83.33;none recorded;Kolkata Knight Riders Innings (20 overs maximum);1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
BB McCullum;2;158;73;10;13;216.43;none recorded;Kolkata Knight Riders Innings (20 overs maximum);1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
RT Ponting;3;20;20;1;1;100;none recorded;Kolkata Knight Riders Innings (20 overs maximum);1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
DJ Hussey;4;12;12;1;0;100;none recorded;Kolkata Knight Riders Innings (20 overs maximum);1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
Mohammad Hafeez;5;5;3;1;0;166.66;none recorded;Kolkata Knight Riders Innings (20 overs maximum);1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
R Dravid (c);1;2;3;0;0;66.66;none recorded;Royal Challengers Bangalore;1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
W Jaffer;2;6;16;0;0;37.5;none recorded;Royal Challengers Bangalore;1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
V Kohli;3;1;5;0;0;20;none recorded;Royal Challengers Bangalore;1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
JH Kallis;4;8;7;0;1;114.28;none recorded;Royal Challengers Bangalore;1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
CL White;5;6;10;0;0;60;none recorded;Royal Challengers Bangalore;1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
MV Boucher æ;6;7;9;1;0;77.77;none recorded;Royal Challengers Bangalore;1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
B Akhil;7;0;2;0;0;0;none recorded;Royal Challengers Bangalore;1st match (N), Indian Premier League at Bengaluru, Apr 18 2008;KKR won by 140 runs;Kolkata Knight Riders;;222;3;Royal Challengers Bangalore;82;;15,1/20 ov)
PA Patel;1;15;10;3;0;150;none recorded;Chennai Super Kings Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
ML Hayden;2;25;17;4;1;147.05;none recorded;Chennai Super Kings Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
MEK Hussey;3;116;54;8;9;214.81;none recorded;Chennai Super Kings Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
MS Dhoni (c) æ;4;2;3;0;0;66.66;none recorded;Chennai Super Kings Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
SK Raina;5;32;13;2;3;246.15;none recorded;Chennai Super Kings Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
JDP Oram;6;13;10;0;1;130;none recorded;Chennai Super Kings Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
S Badrinath;7;31;14;3;2;221.42;none recorded;Chennai Super Kings Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
K Goel;1;24;19;2;1;126.31;none recorded;Kings XI Punjab;2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
JR Hopes;2;71;33;10;3;215.15;none recorded;Kings XI Punjab;2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
KC Sangakkara æ;3;54;33;5;2;163.63;none recorded;Kings XI Punjab;2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
Yuvraj Singh (c);4;23;13;1;2;176.92;none recorded;Kings XI Punjab;2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
SM Katich;5;21;17;0;1;123.52;none recorded;Kings XI Punjab;2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
IK Pathan;6;3;5;0;0;60;none recorded;Kings XI Punjab;2nd match (D/N), Indian Premier League at Chandigarh, Apr 19 2008;Super Kings won by 33 runs;Chennai Super Kings;;240;5;Kings XI Punjab;207;4¾;20 ov)
T Kohli;1;7;12;0;1;58.33;none recorded;Rajasthan Royals Innings (20 overs maximum);3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
YK Pathan;2;10;5;2;0;200;none recorded;Rajasthan Royals Innings (20 overs maximum);3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
SR Watson;3;21;15;4;0;140;none recorded;Rajasthan Royals Innings (20 overs maximum);3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
M Kaif;4;9;19;0;0;47.36;none recorded;Rajasthan Royals Innings (20 overs maximum);3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
DS Lehmann;5;1;2;0;0;50;none recorded;Rajasthan Royals Innings (20 overs maximum);3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
RA Jadeja;6;29;23;2;2;126.08;none recorded;Rajasthan Royals Innings (20 overs maximum);3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
M Rawat æ;7;2;4;0;0;50;none recorded;Rajasthan Royals Innings (20 overs maximum);3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
G Gambhir;1;58;46;7;1;126.08;none recorded;Delhi Daredevils;3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
V Sehwag (c);2;12;4;3;0;300;none recorded;Delhi Daredevils;3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
S Dhawan;3;52;41;8;0;126.82;none recorded;Delhi Daredevils;3rd match (N), Indian Premier League at Delhi, Apr 19 2008;Daredevils won by 9 wickets (with 29 balls remaining);Rajasthan Royals;;129;8;Delhi Daredevils;132;1¾;15,1/20 ov)
AC Gilchrist æ;1;23;22;1;2;104.54;none recorded;Deccan Chargers Innings (20 overs maximum);4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
Y Venugopal Rao;2;14;14;1;0;100;none recorded;Deccan Chargers Innings (20 overs maximum);4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
VVS Laxman (c);3;0;6;0;0;0;none recorded;Deccan Chargers Innings (20 overs maximum);4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
A Symonds;4;32;39;2;2;82.05;none recorded;Deccan Chargers Innings (20 overs maximum);4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
RG Sharma;5;0;3;0;0;0;none recorded;Deccan Chargers Innings (20 overs maximum);4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
SB Styris;6;6;7;1;0;85.71;none recorded;Deccan Chargers Innings (20 overs maximum);4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
AS Yadav;7;10;10;0;1;100;none recorded;Deccan Chargers Innings (20 overs maximum);4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
WP Saha æ;1;10;17;1;0;58.82;none recorded;Kolkata Knight Riders;4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
BB McCullum;2;5;5;1;0;100;none recorded;Kolkata Knight Riders;4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
RT Ponting;3;0;1;0;0;0;none recorded;Kolkata Knight Riders;4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
SC Ganguly (c);4;14;30;1;0;46.66;none recorded;Kolkata Knight Riders;4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
DJ Hussey;5;38;43;1;3;88.37;none recorded;Kolkata Knight Riders;4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
Mohammad Hafeez;6;13;13;1;1;100;none recorded;Kolkata Knight Riders;4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
LR Shukla;7;4;6;0;0;66.66;none recorded;Kolkata Knight Riders;4th match (D/N), Indian Premier League at Kolkata, Apr 20 2008;KKR won by 5 wickets (with 6 balls remaining);Deccan Chargers;;110;;Kolkata Knight Riders;112;5¾;19/20 ov)
L Ronchi æ;1;8;10;2;0;80;none recorded;Mumbai Indians Innings (20 overs maximum);5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
ST Jayasuriya;2;29;16;5;1;181.25;none recorded;Mumbai Indians Innings (20 overs maximum);5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
DJ Thornely;3;0;5;0;0;0;none recorded;Mumbai Indians Innings (20 overs maximum);5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
RV Uthappa;4;48;38;5;1;126.31;none recorded;Mumbai Indians Innings (20 overs maximum);5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
PR Shah;5;19;23;2;0;82.6;none recorded;Mumbai Indians Innings (20 overs maximum);5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
AM Nayar;6;20;14;1;1;142.85;none recorded;Mumbai Indians Innings (20 overs maximum);5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
SM Pollock;7;28;12;3;2;233.33;none recorded;Mumbai Indians Innings (20 overs maximum);5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
S Chanderpaul;1;16;11;3;0;145.45;none recorded;Royal Challengers Bangalore;5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
R Dravid (c);2;32;33;4;0;96.96;none recorded;Royal Challengers Bangalore;5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
LRPL Taylor;3;23;12;1;2;191.66;none recorded;Royal Challengers Bangalore;5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
JH Kallis;4;25;24;0;1;104.16;none recorded;Royal Challengers Bangalore;5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
V Kohli;5;23;14;3;1;164.28;none recorded;Royal Challengers Bangalore;5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
MV Boucher æ;6;39;19;4;2;205.26;none recorded;Royal Challengers Bangalore;5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
B Akhil;7;3;5;0;0;60;none recorded;Royal Challengers Bangalore;5th match (N), Indian Premier League at Mumbai, Apr 20 2008;RCB won by 5 wickets (with 2 balls remaining);Mumbai Indians;;165;6;Royal Challengers Bangalore;166;5¾;19,4/20 ov)
K Goel;1;26;21;3;2;123.8;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
JR Hopes;2;16;16;2;0;100;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
KC Sangakkara æ;3;20;8;3;1;250;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
DPMD Jayawardene;4;2;4;0;0;50;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
Yuvraj Singh (c);5;57;34;6;3;167.64;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
IK Pathan;6;12;19;0;1;63.15;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
S Sohal;7;4;4;0;0;100;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
