Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
AJ Finch (AUS);156;0;70;63;11;14;247.61;1;v England;Southampton;29-Aug-13;
GJ Maxwell (AUS);145;1;-;65;14;9;223.07;1;v Sri Lanka;Pallekele;06-Sep-16;
E Lewis (WI);125;1;-;62;6;12;201.61;2;v India;Kingston;09-Jul-17;
SR Watson (AUS);124;1;86;71;10;6;174.64;1;v India;Sydney;31-Jan-16;
BB McCullum (NZ);123;0;72;58;11;7;212.06;1;v Bangladesh;Pallekele;21-Sep-12;
F du Plessis (SA);119;0;99;56;11;5;212.5;1;v West Indies;Johannesburg;11-Jan-15;
RG Sharma (INDIA);118;0;61;43;12;10;274.41;1;v Sri Lanka;Indore;22-Dec-17;
Mohammad Shahzad (AFG);118;1;-;67;10;8;176.11;1;v Zimbabwe;Sharjah;10-Jan-16;
RE Levi (SA);117;1;67;51;5;13;229.41;2;v New Zealand;Hamilton;19-Feb-12;
AD Hales (ENG);116;1;97;64;11;6;181.25;2;v Sri Lanka;Chittagong;27-Mar-14;
BB McCullum (NZ);116;1;87;56;12;8;207.14;1;v Australia;Christchurch;28-Feb-10;
MN van Wyk (SA);114;1;85;70;9;7;162.85;1;v West Indies;Durban;14-Jan-15;
Ahmed Shehzad (PAK);111;1;96;62;10;5;179.03;1;v Bangladesh;Dhaka;30-Mar-14;
KL Rahul (INDIA);110;1;84;51;12;5;215.68;2;v West Indies;Lauderhill;27-Aug-16;
C Munro (NZ);109;1;87;58;7;7;187.93;1;v India;Rajkot;04-Nov-17;
RG Sharma (INDIA);106;0;79;66;12;5;160.6;1;v South Africa;Dharamsala;02-Oct-15;
C Munro (NZ);104;0;88;53;3;10;196.22;1;v West Indies;Mount Maunganui;03-Jan-18;
TM Dilshan (SL);104;1;85;57;12;5;182.45;1;v Australia;Pallekele;06-Aug-11;
GJ Maxwell (AUS);103;1;89;58;10;4;177.58;2;v England;Hobart;07-Feb-18;
DA Miller (SA);101;1;53;36;7;9;280.55;1;v Bangladesh;Potchefstroom;29-Oct-17;
C Munro (NZ);101;0;71;54;7;7;187.03;1;v Bangladesh;Mount Maunganui;06-Jan-17;
MJ Guptill (NZ);101;1;89;69;9;6;146.37;2;v South Africa;East London;23-Dec-12;
SK Raina (INDIA);101;0;85;60;9;5;168.33;1;v South Africa;Gros Islet;02-May-10;
E Lewis (WI);100;0;76;49;5;9;204.08;1;v India;Lauderhill;27-Aug-16;
CH Gayle (WI);100;1;94;48;5;11;208.33;2;v England;Mumbai;16-Mar-16;
DPMD Jayawardene (SL);100;0;80;64;10;4;156.25;1;v Zimbabwe;Providence;03-May-10;
LJ Wright (ENG);99;1;83;55;8;6;180;1;v Afghanistan;Colombo (RPS);21-Sep-12;
AD Hales (ENG);99;0;84;68;6;4;145.58;2;v West Indies;Nottingham;24-Jun-12;
Ahmed Shehzad (PAK);98;1;91;64;6;6;153.12;1;v Zimbabwe;Harare;24-Aug-13;
CH Gayle (WI);98;0;88;66;5;7;148.48;1;v India;Bridgetown;09-May-10;
DPMD Jayawardene (SL);98;1;85;56;9;4;175;1;v West Indies;Bridgetown;07-May-10;
HM Amla (SA);97;1;81;62;8;4;156.45;1;v Australia;Cape Town;09-Mar-16;
JP Duminy (SA);96;1;73;54;10;4;177.77;1;v Zimbabwe;Kimberley;10-Oct-10;
